household_id,region_id,size,total_income
135,4,4,17706.706626789364
136,7,4,19576.305009193336
137,2,3,6063.019536438475
138,8,1,16889.790329964722
139,7,3,45009.914130900645
140,6,4,1749.053146704705
141,7,2,20886.601803014088
142,9,3,8615.508249104732
143,8,1,24668.6845015048
144,2,1,59273.7501716007
145,3,3,27553.60479938326
146,10,1,5769.4485721199135
147,7,1,23130.530703454097
148,2,1,21257.98328349586
149,3,2,105905.02105525119
150,7,2,35701.69123273388
151,2,3,40426.8437968366
152,7,2,18967.8842940906
153,7,2,14943.867545886364
154,6,3,10941.727141547988
155,4,3,17222.456139258586
156,2,4,31933.270853541904
157,3,2,19970.627380760943
158,2,2,46627.165477077244
159,3,1,25949.07293195008
160,4,1,7239.1287877884115
161,4,1,228898.33575827206
162,8,2,33117.6757351159
163,2,4,4446.639935825592
164,6,2,38762.58237704245
165,3,3,4675.9205093475175
166,3,3,65779.08535897854
167,1,1,23368.380411215927
168,9,3,11883.722519882356
169,5,2,100097.07863282303
170,7,1,187549.9914333188
171,8,4,291259.50906561135
172,10,2,60596.048661554865
173,4,3,3433.0498458245947
174,1,1,8956.848347222369
175,1,3,36117.59695925117
176,6,2,59173.77130939893
177,7,2,24790.75805626246
178,10,3,48841.34335844067
179,8,1,14532.29371307459
180,1,1,6409.671223697088
181,10,2,14803.938726464372
182,3,2,22489.66990068003
183,1,2,77010.07059213756
184,7,4,11482.441000851
185,3,2,12226.520648853013
186,8,2,35586.55820167942
187,8,3,139061.42883938728
188,4,5,22757.077647928505
189,7,1,27297.76937967207
190,2,2,10864.823765755305
191,5,2,30524.023413266324
192,6,2,34297.64549557473
193,4,2,129636.67696439325
194,2,4,20504.4670108418
195,6,3,35940.11914819912
196,3,2,11657.809861328366
197,4,3,42598.543700677394
198,4,4,32844.58322394972
199,3,3,25403.446458016366
200,8,2,18017.97676571005
201,9,3,64649.32928581692
202,8,2,10794.108684707282
203,9,1,23356.552488314243
204,1,3,11439.92845075168
205,2,3,303196.8667428517
206,8,2,51710.63539328629
207,2,3,65083.59966442744
208,5,2,18123.498846920593
209,4,2,20586.494908207245
210,4,2,84736.66373853877
211,7,2,69612.16462940483
212,8,3,27985.711714668672
213,3,3,30354.991257815127
214,2,1,28347.167310242345
215,2,1,29250.094691406975
216,5,2,21683.315554268178
217,5,3,22041.79573039543
218,9,3,4812.103721795423
219,2,3,9143.82917864129
220,5,2,75233.3613989459
221,7,4,114945.378245749
222,3,2,14777.754986098793
223,4,2,13949.762555864649
224,2,5,16482.413494613404
225,10,3,5657.234199107586
226,3,2,211564.50881895324
227,6,3,13250.379388771087
228,7,1,8344.283558461235
229,5,3,8822.343384775038
230,5,2,48692.57616638316
231,8,2,11494.632975410366
232,9,3,38839.73410912699
233,9,2,58039.39552793635
234,2,4,41582.57832420069
235,5,3,53543.974257790076
236,7,4,16208.627597511735
237,7,3,54264.43871060616
238,4,5,67422.60798528114
239,9,2,36744.72855284005
240,6,2,180015.67372771283
241,5,5,71485.17131436261
242,2,3,5105.406740345275
243,4,3,4404.542782586807
244,9,4,31637.431960874877
245,4,4,23513.35175572537
246,4,1,41560.04066043786
247,10,2,189680.97094909736
248,6,2,11039.041837457185
249,10,2,83840.78704636084
250,2,2,9088.89941993246
251,2,2,7487.639830071229
252,5,1,16997.11454927293
253,3,2,84129.95981574584
254,4,2,67039.3358079243
255,10,2,25069.10968326737
256,8,2,12147.200665496026
257,9,3,7872.279835398959
258,1,3,40309.08213403545
259,5,3,19394.288228393383
260,2,4,19553.693226233092
261,7,3,1962.4659110492316
262,5,2,3079.471989748264
263,9,3,37168.38718860231
264,2,2,42067.44516552748
265,9,4,43967.50724155982
266,8,3,13157.67402867022
267,4,3,26877.189789272885
268,2,3,32671.303117707645
269,10,2,14680.046257476753
270,3,2,35829.5570223339
271,9,4,19081.712278002506
272,9,3,29654.56817812032
273,6,2,4819.96050214204
274,8,3,14472.132099569346
275,7,4,60104.09594683558
276,10,5,10998.640303106436
277,5,2,17408.485092173367
278,4,2,26767.92934174582
279,9,5,2214.432737795979
280,3,1,14283.279691435106
281,6,2,10728.09578054439
282,6,5,65900.23332618205
283,3,2,29203.673194265728
284,4,3,19815.058693934392
285,7,1,14523.281620342237
286,6,2,13721.525623595251
287,4,1,34490.11581288045
288,3,2,12520.44382120571
289,9,2,13242.155395197842
290,8,3,39429.93085504867
291,8,2,121982.14383542753
292,2,4,66142.72612505284
293,6,3,16862.82821712761
294,9,1,15553.011976913293
295,1,3,52206.987230188744
296,3,3,100329.95922174463
297,10,4,14625.350325156536
298,1,1,19532.922536314672
299,9,1,14382.879619280237
300,3,2,101939.75881465184
301,2,3,3509.513872692187
302,8,2,31284.800430721098
303,3,1,12089.554420971104
304,7,2,18028.379703505394
305,2,1,15005.60988834875
306,10,1,23054.265288986975
307,3,1,43999.869027679335
308,10,4,21600.5550534636
309,2,2,23271.702911898745
310,4,4,113687.18466401832
311,2,2,13166.960556035057
312,9,3,84881.42002466225
313,2,3,62268.97735673996
314,6,1,40413.56896651046
315,8,1,19902.58314556922
316,10,2,14521.942731389327
317,10,1,382635.9301819836
318,8,5,24328.55268385054
319,7,2,19162.233391905345
320,3,2,30937.150050497647
321,10,4,15063.025963206333
322,10,2,73876.48985422043
323,8,1,79912.4101582611
324,10,2,21613.475235717237
325,4,1,62324.96256154561
326,6,1,3720.5075980390566
327,2,2,5863.023808838252
328,5,2,10865.069447525531
329,10,1,3864.6726072867295
330,6,3,165800.67887688306
331,7,3,57939.26284246923
332,4,3,333812.3504677655
333,1,2,16766.4014956257
334,2,1,19232.42433025383
335,10,1,51272.11070907458
336,4,3,16736.43609352912
337,1,2,137740.53998209868
338,2,3,43491.11737492561
339,4,2,86689.04903969236
340,6,2,2694.0869458914
341,10,3,58552.02937561508
342,2,3,71942.57142685502
343,10,2,11103.21212035986
344,1,2,7447.016625356984
345,4,4,33342.24965289112
346,1,2,27806.369838805378
347,2,1,46536.66639343995
348,8,1,28946.6022408052
349,4,3,6166.223850099784
350,4,3,2875.528572222134
351,2,4,18675.621526804527
352,3,2,63975.897642012766
353,1,3,2772.3358728300436
354,1,1,26392.57707759703
355,8,3,29540.505472321853
356,1,1,8459.925300712379
357,3,2,30448.08629802769
358,9,3,12318.495977309389
359,2,4,139595.38404448092
360,10,2,7766.3984409242485
361,1,3,62388.60255384708
362,2,1,9969.575880976192
363,3,2,47283.90621693287
364,1,1,10674.232833662509
365,9,4,11554.069281340364
366,10,5,14893.699786986506
367,4,1,11266.115877604376
368,9,5,9757.22170030979
369,3,2,57084.01619429827
370,4,2,33736.23028888603
371,7,1,45590.16858429618
372,5,2,18925.19746864116
373,9,2,59056.08289223538
374,6,2,29898.573411134912
375,3,4,42102.14820154971
376,4,1,22041.82077600677
377,10,2,33240.397418020206
378,10,2,10104.162519855621
379,8,1,27664.652500922377
380,4,2,206121.015203575
381,2,2,9442.032910518328
382,9,2,84002.91317982195
383,5,1,6275.487264337093
384,9,1,12346.066340521149
385,3,3,226927.01317290126
386,2,2,25651.953527438756
387,10,1,25219.27993056692
388,3,2,31932.627278130374
389,2,4,18418.992580261536
390,9,1,17405.7191800825
391,9,2,12732.611492048398
392,2,2,11837.831899549976
393,5,2,67932.4673494151
394,5,2,5163.437842472979
395,3,2,23349.399567481538
396,7,2,19489.074138835265
397,4,3,7853.289157442534
398,3,1,39924.47309919548
399,1,1,27856.185689220518
400,7,1,15281.64093787754
401,6,4,32011.50915755279
402,1,2,11366.53889098738
403,5,3,5750.276172888749
404,4,1,51483.541273989315
405,2,3,12936.55853387966
406,5,2,13748.07135699033
407,6,3,18154.11250023973
408,1,3,11742.705138904796
409,7,3,49726.568948932916
410,4,2,9773.666464199641
411,3,1,16199.957958976252
412,1,2,296485.6901590194
413,3,2,150780.90782753695
414,7,2,27569.89803244887
415,9,2,8751.049136882211
416,6,3,14942.926443927874
417,5,1,19390.246172018287
418,5,3,14234.240103138512
419,3,2,6543.863682031981
420,2,4,13036.368959369252
421,7,2,3759.376142205012
422,1,2,21874.85859475916
423,7,1,76790.68641397243
424,7,1,46004.154738079014
425,1,3,11777.97107722177
426,6,4,3188.7312193318644
427,2,3,48202.736836731594
428,2,2,13475.013336407015
429,2,5,4951.634909160909
430,1,1,34837.03543427526
431,3,2,5322.227242796877
432,7,2,2238.9936607577774
433,9,2,11692.08461052338
434,1,2,25168.052948898076
435,9,2,25291.79313392288
436,5,3,22046.758282773564
437,7,3,10529.654818408933
438,2,2,55128.24054093728
439,8,2,21430.45265465869
440,8,2,59079.60096854232
441,7,2,10737.322575778853
442,5,1,28229.080127726575
443,3,2,15619.511929116357
444,7,1,17378.084357517568
445,4,2,7938.321715652676
446,1,4,85958.05904973712
447,1,2,40580.41779487119
448,9,1,76935.7911491449
449,1,3,15757.682154158168
450,8,3,68319.24148901284
451,9,1,35285.35413575944
452,2,4,82845.46464125723
453,7,2,26579.18519672136
454,4,2,23531.482255330346
455,8,3,67809.52392987463
456,1,1,72263.36236715941
457,4,2,24406.531109422056
458,10,4,16720.702448085245
459,5,2,26431.162535061554
460,9,2,62362.31783133919
461,4,5,106166.43578094813
462,8,2,30545.111412076512
463,2,3,9932.109938092994
464,7,5,28514.34291353987
465,10,3,4754.716916093886
466,5,2,36431.770760934145
467,9,2,34301.85086220795
468,7,2,38983.126198743514
469,7,1,22396.420099192608
470,5,2,23127.434311755864
471,1,2,29527.82760145178
472,10,1,7885.9053888915105
473,3,1,104702.88608216046
474,7,1,46200.51404083773
475,10,3,30429.012516522158
476,7,1,8035.342716184225
477,9,2,9241.673570950587
478,3,2,77654.00658942643
479,4,3,212689.200041325
480,7,3,7783.416819593971
481,9,3,45332.0482496287
482,2,3,23990.8940343735
483,2,3,9251.389948699627
484,8,2,36527.716106734006
485,7,1,3894.5449125610803
486,9,3,21074.510234971283
487,3,4,74220.14398926581
488,10,2,21472.03763975151
489,3,3,14735.839279890062
490,9,1,25769.342572860452
491,5,2,28294.4623858362
492,8,1,40858.07703561786
493,2,4,54949.84897218277
494,6,2,57248.36649593497
495,10,3,50219.37840956934
496,4,2,17453.110276865707
497,5,2,8644.55255124637
498,2,2,58510.55719780191
499,7,3,9131.29547816256
500,7,4,130320.6593848391
501,8,2,69278.0459326766
502,10,3,17632.059334626676
503,4,4,13256.362237955114
504,9,4,148260.6734151294
505,4,2,9509.27770944865
506,8,3,49048.77209933146
507,9,1,2039.752111727139
508,10,1,5160.220504069545
509,3,3,31457.774961713974
510,3,2,13583.847782542807
511,1,3,23143.45964046465
512,7,3,40676.94550293509
513,9,2,16059.530445859435
514,1,2,101876.20802158107
515,1,5,111715.70390099542
516,3,3,18986.29726919512
517,9,1,21630.67317392618
518,8,4,7324.024967300694
519,3,2,12196.367517626815
520,5,1,36899.221484254034
521,5,4,13609.249690968023
522,6,3,20269.47050368743
523,1,1,13133.424662657693
524,4,2,10559.387350107732
525,3,2,54523.729827181625
526,7,2,14864.896348143324
527,10,2,307323.80421303865
528,6,2,150729.2498977846
529,8,3,2420.2071454903225
530,3,2,34549.828172965346
531,6,1,65608.00640955953
532,2,2,33848.4084521114
533,3,3,55245.8968596817
534,7,2,70840.49433967182
535,2,1,110153.582544409
536,8,1,6552.1693873464565
537,10,5,23248.911026327023
538,1,2,84643.77213186226
539,1,5,10553.461747638048
540,4,2,56240.63528006498
541,6,2,7011.652460207919
542,7,3,29068.943658504177
543,10,1,18095.261731256152
544,7,2,51707.45908624742
545,2,1,17372.18425705123
546,6,2,49883.29136349351
547,10,3,62705.17087298954
548,2,1,7765.108018608869
549,3,3,7686.003589487243
550,6,3,43959.254689349655
551,8,2,1238.6464732528111
552,5,2,3839.0803675891843
553,4,3,39567.472256948335
554,4,3,27176.216262285667
555,10,2,8552.67589233988
556,7,3,22590.123767337696
557,6,3,6547.978396144807
558,5,2,21289.98585641883
559,2,4,21518.116832690066
560,4,1,11119.567992468776
561,1,1,20440.49742455745
562,4,2,4235.389384618874
563,6,1,45088.32605084712
564,4,2,7348.068821517357
565,4,2,17499.34542060258
566,10,2,344984.85259807744
567,2,1,93708.21030596655
568,5,2,14069.096576069553
569,4,4,21408.67203972665
570,9,3,24693.495557626786
571,9,2,32922.330535909445
572,9,4,35346.90267278712
573,1,3,50689.14803502245
574,8,5,2177.4996226063427
575,7,2,14559.507459455413
576,2,4,12793.842078672642
577,3,5,17921.07288557595
578,10,2,11971.278969570647
579,1,1,36285.15192782835
580,1,1,34074.297773245555
581,3,1,18051.32549637648
582,5,4,12606.181727685158
583,3,2,21512.171363233825
584,6,3,29519.892881315795
585,4,1,4264.312776611161
586,9,3,5797.2161892406275
587,9,2,10797.17983826447
588,1,2,171568.75084216965
589,4,2,24604.53017838868
590,3,1,10047.546578921812
591,1,3,20933.214139650485
592,4,2,28760.471800017905
593,5,3,37920.809714020696
594,6,2,62559.79852985943
595,4,1,19702.83091111706
596,1,3,6655.011777439854
597,8,5,17925.4668748004
598,10,4,14195.566552279592
599,3,3,14146.233702483252
600,1,2,72595.7648751131
601,6,3,8584.965168981464
602,1,5,10669.48378222011
603,10,4,188380.56562458654
604,2,3,120072.68207656426
605,6,2,158754.4995255236
606,5,1,14355.185905534754
607,7,2,96855.09107796222
608,6,2,46103.41226764086
609,5,1,47527.022186237264
610,9,3,11950.619302964502
611,4,1,15873.03096462586
612,6,3,14060.700896952492
613,7,5,112305.9365052187
614,5,2,4867.653817166637
615,10,2,78867.96096371108
616,5,2,18339.996756498695
617,9,3,49539.28461018303
618,6,5,27735.705538421185
619,9,2,3757.3065878343723
620,9,2,20677.18069144817
621,9,2,13675.546212331587
622,9,5,43360.8243956579
623,10,2,32888.170618585194
624,9,3,10632.427897337271
625,3,1,88770.21937997728
626,1,4,8754.87625412067
627,1,2,9030.43956878608
628,2,3,19499.998244489365
629,8,3,5045.914185169598
630,3,3,20393.275112779276
631,2,3,22073.904795744744
632,9,3,20527.572835864597
633,5,5,1401.9576104269477
634,6,4,4586.503734923565
635,10,1,51319.2683433176
636,3,2,15148.510592671964
637,1,2,45870.58712112324
638,1,2,26291.4290226449
639,5,2,65773.22651489309
640,10,2,10658.124790277292
641,2,1,30322.784279601536
642,6,3,4024.2158980441645
643,6,2,19890.794796317092
644,9,3,34613.54522447455
645,5,2,20264.778070409593
646,8,1,18557.57130250284
647,2,1,7280.357137643549
648,4,3,61006.210876009616
649,7,3,10990.338099709785
650,8,4,8723.553179107812
651,2,1,64668.37031402647
652,10,2,54220.173597979054
653,2,1,232434.95878660612
654,8,3,11334.036276142257
655,8,2,4823.913138632837
656,3,1,10693.749967481328
657,10,2,51496.060985799464
658,7,2,5396.034535205871
659,8,2,4177.909897689887
660,3,1,18847.037360366816
661,2,2,44359.76222162666
662,10,2,9253.373337566327
663,3,4,12777.519661887785
664,2,1,19621.057638463266
665,4,2,104193.8286733255
666,4,2,9733.3111247276
667,4,2,128520.03899497323
668,10,2,42946.708994067696
669,4,4,21962.624225672345
670,1,3,64778.94221513281
671,10,2,9804.264484412932
672,7,4,16399.269114375238
673,1,2,31408.576286404335
674,8,2,37214.51254876531
675,7,3,10514.37432044437
676,7,3,25437.653793520796
677,2,3,66466.5497037269
678,4,2,20777.55720486052
679,5,1,16443.243022806633
680,4,2,17023.32218333266
681,2,2,17588.227459046157
682,10,2,1578.7686760464157
683,9,1,14275.26621566401
684,4,3,23373.503547017932
685,6,2,31054.74498576559
686,3,1,95235.77802490306
687,4,2,28362.727268367053
688,2,3,20529.062404824606
689,9,4,9901.959737693938
690,4,2,9196.816988771683
691,6,3,19731.433334094476
692,3,2,22888.199120457684
693,2,3,15144.443403185907
694,10,2,24059.68932984399
695,8,4,39019.87416216551
696,6,2,64049.54840184479
697,7,3,17331.615326445295
698,3,2,18480.692226078776
699,4,2,14052.353021507579
700,6,2,8896.921549198405
701,7,1,8035.931605943349
702,3,2,20730.515105274662
703,6,1,11769.438489001215
704,4,5,11114.523748686912
705,6,1,83819.61496811284
706,10,4,4998.490978071441
707,9,3,117273.9121066645
708,10,3,16963.51443821761
709,10,1,22093.658079657667
710,8,2,49280.74103262442
711,7,1,17060.008091358435
712,5,2,9494.618290624496
713,4,2,12112.621901893717
714,2,4,9244.234375777069
715,9,3,59580.366935208316
716,2,2,30333.83735242654
717,8,3,23932.324418937846
718,4,1,12303.819067668112
719,1,4,50322.64186346666
720,2,2,8441.443387830503
721,10,1,44059.72584249214
722,7,1,17597.0539868161
723,1,2,5168.744882202654
724,10,4,40971.86889552664
725,5,2,3588.0049810330274
726,2,2,9061.502533422985
727,1,2,6362.284634732293
728,8,4,11870.917698588544
729,8,5,54931.515328400936
730,5,1,13176.183555322725
731,6,1,12312.71424935868
732,9,2,26658.45609272551
733,7,3,19511.171844122306
734,8,5,166535.79898713314
735,5,2,56033.290418822326
736,6,3,22026.484335466415
737,9,5,5567.290858528036
738,9,2,68394.15346416939
739,6,2,9731.973214904478
740,3,2,52090.58887520506
741,4,3,33190.53075351834
742,7,1,18942.013396005423
743,5,4,41789.42309296428
744,5,2,25960.129704684383
745,2,4,11098.970448982653
746,4,2,23671.28797941534
747,10,3,35271.186659752966
748,1,3,76254.83013770093
749,4,2,102215.14526647213
750,10,2,26206.14392883136
751,3,1,74667.93290615232
752,8,4,162199.8181144745
753,7,3,3569.3009877287827
754,5,3,34143.659454363864
755,5,2,8835.965540294752
756,9,2,11667.60729250957
757,2,2,12930.025157557573
758,2,3,34467.124639528774
759,2,2,22171.877462420594
760,8,2,7367.930540255749
761,9,2,12241.180582924706
762,10,1,29252.21370666195
763,6,1,3824.5617249028196
764,7,3,9695.298378059488
765,2,3,7954.764018966953
766,10,3,11079.237573301918
767,4,1,26889.60531969427
768,2,2,45899.01736646897
769,3,2,65996.86993655135
770,3,4,53547.40922968539
771,6,3,8899.885555225777
772,4,3,98095.7980312388
773,9,3,10941.55425189806
774,6,3,7579.5269497003965
775,10,2,23637.929676463347
776,6,5,21016.41436669763
777,7,3,85191.01259233934
778,7,1,9276.051404805276
779,8,1,10166.551305767163
780,6,4,14797.761975499512
781,2,2,58988.59613848289
782,4,4,142065.2656138111
783,3,3,25695.879144080965
784,10,2,40099.15306010749
785,2,2,18308.958610913636
786,3,2,5918.015264606408
787,6,2,12745.505421368902
788,6,2,20780.10488391364
789,4,2,24484.810704245632
790,4,4,4198.754155160909
791,9,3,85813.73336421169
792,8,4,102844.67254367955
793,5,2,14046.042408857256
794,7,2,69413.82679788048
795,3,1,4143.030013856344
796,6,2,7802.331500725762
797,6,4,4626.716755857171
798,2,2,3083.226459428276
799,5,2,5467.219647770329
800,4,1,143890.36334535136
801,9,4,30809.456089291027
802,6,1,8677.725042192555
803,4,2,56070.488306198495
804,5,2,15174.862717607373
805,7,5,10194.343863961762
806,4,2,8776.339476071938
807,6,3,6785.087389311184
808,7,4,37146.87303637918
809,8,3,11669.635440696591
810,10,2,12178.16596278709
811,6,1,273367.8844902239
812,6,3,60175.04137949003
813,5,3,17491.589480561273
814,1,1,18047.579269414517
815,5,2,8791.750232510096
816,2,1,3792.342540804568
817,5,2,3307.029169212098
818,2,1,37598.23161007234
819,8,3,9306.830588438963
820,7,1,11644.130688590285
821,8,4,4863.542707459767
822,2,2,15776.664212236208
823,1,1,26075.051789805137
824,6,2,34686.37882044809
825,2,2,25415.150858829445
826,3,2,28625.867061553832
827,8,2,4343.143821828536
828,5,2,59842.96131265238
829,3,2,164693.5156179455
830,1,3,24085.735353974127
831,6,1,22786.48510147843
832,3,3,55287.60906327168
833,1,1,13222.770521567283
834,6,1,21828.263118550614
835,7,1,8517.45471899323
836,10,3,7496.684206070363
837,7,4,17463.827427555385
838,1,2,8401.435260994882
839,5,3,50480.45829276853
840,5,1,35945.97716058722
841,4,2,34394.62848005582
842,4,1,15605.116411975892
843,8,3,26363.17166521337
844,10,1,10611.969053970153
845,5,3,7094.527016339358
846,6,2,29531.04054057329
847,8,2,41571.48830141159
848,7,3,13294.162944925165
849,5,1,9019.92932694044
850,2,4,11601.653221339742
851,4,2,14409.258602219406
852,7,1,12652.004114357127
853,2,1,23611.822648410824
854,1,3,31676.35710830001
855,9,1,14177.64662057273
856,9,2,2276.8322782818186
857,3,2,44517.82141191791
858,8,2,23952.589998277108
859,4,2,20419.133412768442
860,3,2,16765.049852906664
861,7,2,55364.01894018449
862,7,1,19533.778522536755
863,6,3,69454.80741182283
864,8,3,77615.33962860469
865,9,2,148291.6129955952
866,4,2,14356.833218153213
867,6,2,14882.254238361524
868,10,3,29740.986743636815
869,4,4,96653.3516873668
870,8,2,14125.83728387106
871,5,1,11915.878872115856
872,2,3,22808.53506427317
873,6,2,12194.92344818435
874,4,2,6260.972958029504
875,4,1,38960.145521714054
876,2,1,37558.64340846563
877,5,2,31277.69874375033
878,2,3,6536.544911194898
879,5,2,24925.395409701672
880,10,2,13063.708605355747
881,7,2,48969.841012268866
882,2,2,111154.2519448689
883,8,3,64136.78798841427
884,4,5,8853.267934190906
885,9,3,32746.31074426794
886,9,3,5108.085319002575
887,8,2,13377.630898511208
888,9,2,16774.90788496256
889,9,2,2860.5317561490374
890,10,2,12494.612606014125
891,9,2,11561.813539640794
892,6,3,9734.936507550741
893,6,3,36414.61381613424
894,6,3,38877.90985434628
895,8,2,7140.940567896788
896,6,2,19138.16316916176
897,4,2,157954.38754175464
898,2,2,18171.89526034385
899,3,2,25578.242520095053
900,2,3,44330.17249105013
901,2,4,17699.227996151894
902,3,2,30036.313268379396
903,1,3,59981.35853718924
904,3,5,49470.009085046724
905,5,2,18736.050103130754
906,8,4,23507.858371306615
907,5,2,12080.779288387963
908,7,4,35300.1293584037
909,3,1,17275.56168611929
910,7,2,13373.772625506648
911,5,1,8629.071462645566
912,1,1,77685.54083904788
913,1,3,25210.33384438276
914,6,4,59115.71860115414
915,1,2,701284.4547230839
916,4,1,22482.64580053908
917,7,2,15025.086095893574
918,5,4,33439.62951820694
919,3,3,239445.28521396927
920,6,2,20293.207395838668
921,4,2,10538.459716188865
922,9,2,27270.689234389396
923,4,4,8722.292825384382
924,5,2,35763.699809444275
925,4,3,36160.686517861875
926,7,2,51536.9627836373
927,7,2,9588.73952996792
928,6,4,15411.857527476694
929,4,1,5948.8524782589875
930,4,1,30905.71168046988
931,8,3,10714.661354961205
932,3,2,4861.054569955257
933,2,4,13872.960549476758
934,1,2,6970.457374808412
935,9,3,16691.348030037963
936,5,4,10788.149271803652
937,1,2,10683.140769080332
938,4,2,28867.289342168286
939,10,3,53301.99495701894
940,2,2,21975.60310934756
941,4,3,38177.917602437556
942,6,2,20679.786448172817
943,1,2,45719.61268655079
944,8,5,2293.223563814028
945,9,1,105115.25899348468
946,7,2,12980.304342515672
947,3,2,12723.361154434959
948,3,5,20671.65031271338
949,2,4,7100.267309138814
950,2,2,22264.1811323366
951,7,3,15394.42709788181
952,6,5,6423.685003921794
953,9,2,86721.70196542602
954,4,2,25055.818555340047
955,5,1,45361.48147852662
956,4,2,93343.18731194246
957,8,4,9875.65499728613
958,7,2,123824.4494301789
959,2,3,23856.17934917919
960,9,2,32157.634593726176
961,4,2,19787.786314392248
962,4,1,4005.2799730261117
963,3,3,24324.622860830204
964,2,1,39276.31184908595
965,4,1,13109.510922129186
966,2,3,22283.001958910296
967,3,3,19352.68237073319
968,10,3,8172.576737630186
969,8,2,8060.556566682326
970,3,1,18091.74517568416
971,4,3,13126.061897113574
972,4,2,64125.661358521094
973,2,2,6383.367055188346
974,1,3,184296.74068395322
975,6,2,164614.77636183525
976,10,4,70197.17568641639
977,1,2,13992.674768248216
978,1,3,49956.31525297534
979,8,2,84611.95836999186
980,1,1,1962.4699086908615
981,9,5,16629.568658984328
982,9,3,13948.804764834316
983,7,1,11989.570218553563
984,8,3,24993.77879763689
985,2,1,16718.299079705826
986,3,4,10279.514073976994
987,10,2,11095.995460595199
988,8,1,191617.12827334204
989,3,4,18020.367735197102
990,2,4,18337.76322767344
991,8,1,167817.36421844238
992,4,3,10654.594420328198
993,1,3,19012.6498148817
994,4,1,15587.214080144033
995,8,1,13524.52281309864
